REF_DATE,Institution,Rank,total_teaching_staff,teaching_staff_excluded,average_salary,median_salary,tenth_percentile_salaries,nintyth_percentile_salaries
2017/2018,McGill University - Excluding medical and dental,Visiting Staff,-Inf,3,-Inf,-Inf,-Inf,-Inf
2017/2018,McGill University - Including medical and dental,All ranks combined (including deans),1866,27,139925,133150,90650,195000
2017/2018,McGill University - Including medical and dental,Assistant professor,354,-Inf,105125,100000,81650,127050
2017/2018,McGill University - Including medical and dental,Associate professor,708,12,131650,127000,105600,157775
2017/2018,McGill University - Including medical and dental,Associate professor - With senior administrative duties,81,-Inf,150375,140700,113950,196350
2017/2018,McGill University - Including medical and dental,Associate professor - Without senior administrative duties,627,12,129225,125050,105000,152675
2017/2018,McGill University - Including medical and dental,Females,648,9,128575,122050,83275,180275
2017/2018,McGill University - Including medical and dental,Full professor,669,18,174400,166575,134300,221300
2017/2018,McGill University - Including medical and dental,Full professor - With senior administrative duties,132,9,205675,193475,154475,274800
2017/2018,McGill University - Including medical and dental,Full professor - Without senior administrative duties,537,9,166775,162175,131850,203350
2017/2018,McGill University - Including medical and dental,Males,1218,18,146000,138675,96425,200850
2017/2018,McGill University - Including medical and dental,Rank or level below assistant professor,126,3,92750,86225,63400,133250
2017/2018,McGill University - Including medical and dental,Visiting Staff,-Inf,3,-Inf,-Inf,-Inf,-Inf
2017/2018,McMaster University - Excluding medical and dental,All ranks combined (including deans),702,9,163000,168700,108575,206475
2017/2018,McMaster University - Excluding medical and dental,Assistant professor,150,-Inf,114750,111625,85050,145525
2017/2018,McMaster University - Excluding medical and dental,Associate professor,219,-Inf,155100,153225,123075,186700
2017/2018,McMaster University - Excluding medical and dental,Associate professor - With senior administrative duties,27,-Inf,178500,182250,145375,205400
2017/2018,McMaster University - Excluding medical and dental,Associate professor - Without senior administrative duties,192,-Inf,151825,151275,122450,180300
2017/2018,McMaster University - Excluding medical and dental,Females,228,6,149025,149150,100850,191450
2017/2018,McMaster University - Excluding medical and dental,Full professor,315,12,189750,184275,165475,218600
2017/2018,McMaster University - Excluding medical and dental,Full professor - With senior administrative duties,51,9,198675,195225,178000,229650
2017/2018,McMaster University - Excluding medical and dental,Full professor - Without senior administrative duties,261,-Inf,187925,182300,164075,216700
2017/2018,McMaster University - Excluding medical and dental,Males,474,-Inf,169725,174725,115825,210450
2017/2018,McMaster University - Excluding medical and dental,Rank or level below assistant professor,9,-Inf,117225,-Inf,-Inf,-Inf
2017/2018,McMaster University - Including medical and dental,All ranks combined (including deans),873,24,162825,167400,109025,206025
2017/2018,McMaster University - Including medical and dental,Assistant professor,198,3,117000,115500,85475,149975
2017/2018,McMaster University - Including medical and dental,Associate professor,285,9,155875,155975,125100,185000
2017/2018,McMaster University - Including medical and dental,Associate professor - With senior administrative duties,30,-Inf,177375,181650,147075,204475
2017/2018,McMaster University - Including medical and dental,Associate professor - Without senior administrative duties,255,9,153450,153325,123525,178900
2017/2018,McMaster University - Including medical and dental,Females,324,15,151100,153300,101925,191125
2017/2018,McMaster University - Including medical and dental,Full professor,372,24,190575,184275,165100,219325
2017/2018,McMaster University - Including medical and dental,Full professor - With senior administrative duties,60,12,200050,195875,177775,231775
2017/2018,McMaster University - Including medical and dental,Full professor - Without senior administrative duties,312,12,188775,182175,164125,216900
2017/2018,McMaster University - Including medical and dental,Males,546,9,169800,173475,115575,211300
2017/2018,McMaster University - Including medical and dental,Rank or level below assistant professor,9,-Inf,117225,-Inf,-Inf,-Inf
2017/2018,Memorial University of Newfoundland - Excluding medical and dental,All ranks combined (including deans),729,24,127500,123475,91350,164175
2017/2018,Memorial University of Newfoundland - Excluding medical and dental,Assistant professor,165,12,98750,95625,87050,112775
2017/2018,Memorial University of Newfoundland - Excluding medical and dental,Associate professor,300,12,123775,121325,108475,142750
2017/2018,Memorial University of Newfoundland - Excluding medical and dental,Associate professor - With senior administrative duties,39,3,132000,130400,113900,152750
2017/2018,Memorial University of Newfoundland - Excluding medical and dental,Associate professor - Without senior administrative duties,258,9,122525,119200,106350,142750
2017/2018,Memorial University of Newfoundland - Excluding medical and dental,Females,282,15,121325,117050,89200,155600
2017/2018,Memorial University of Newfoundland - Excluding medical and dental,Full professor,228,12,153975,152200,128750,175275
2017/2018,Memorial University of Newfoundland - Excluding medical and dental,Full professor - With senior administrative duties,30,9,156825,156750,134250,185375
2017/2018,Memorial University of Newfoundland - Excluding medical and dental,Full professor - Without senior administrative duties,201,-Inf,153575,151325,127750,174875
2017/2018,Memorial University of Newfoundland - Excluding medical and dental,Males,444,9,131425,129900,95625,170600
2017/2018,Memorial University of Newfoundland - Excluding medical and dental,Rank or level below assistant professor,18,-Inf,80175,78500,78500,87050
2017/2018,Memorial University of Newfoundland - Including medical and dental,All ranks combined (including deans),1002,30,126475,121325,93475,162025
2017/2018,Memorial University of Newfoundland - Including medical and dental,Assistant professor,264,15,99650,99900,87050,108475
2017/2018,Memorial University of Newfoundland - Including medical and dental,Associate professor,414,15,123575,121325,108475,142750
2017/2018,Memorial University of Newfoundland - Including medical and dental,Associate professor - With senior administrative duties,60,3,130800,129975,114525,149825
2017/2018,Memorial University of Newfoundland - Including medical and dental,Associate professor - Without senior administrative duties,354,12,122325,118775,108475,142750
2017/2018,Memorial University of Newfoundland - Including medical and dental,Females,396,21,120750,114900,91350,153450
2017/2018,Memorial University of Newfoundland - Including medical and dental,Full professor,291,15,154825,151325,130750,175225
2017/2018,Memorial University of Newfoundland - Including medical and dental,Full professor - With senior administrative duties,42,12,158825,156900,135450,187100
2017/2018,Memorial University of Newfoundland - Including medical and dental,Full professor - Without senior administrative duties,252,-Inf,154150,151325,129900,174875
2017/2018,Memorial University of Newfoundland - Including medical and dental,Males,603,9,130225,127750,97275,166350
2017/2018,Memorial University of Newfoundland - Including medical and dental,Rank or level below assistant professor,18,-Inf,80175,78500,78500,87050
2017/2018,Mount Allison University,All ranks combined (including deans),138,-Inf,123625,129150,85375,154175
2017/2018,Mount Allison University,Assistant professor,21,-Inf,85350,82250,71250,102900
2017/2018,Mount Allison University,Associate professor,72,-Inf,120600,122900,97875,138550
2017/2018,Mount Allison University,Associate professor - With senior administrative duties,15,-Inf,120825,126025,97250,138550
2017/2018,Mount Allison University,Associate professor - Without senior administrative duties,54,-Inf,120550,119775,97875,138550
2017/2018,Mount Allison University,Females,63,-Inf,118325,122900,82250,152300
2017/2018,Mount Allison University,Full professor,42,-Inf,147400,151050,135425,154175
2017/2018,Mount Allison University,Full professor - With senior administrative duties,6,-Inf,144350,-Inf,-Inf,-Inf
2017/2018,Mount Allison University,Full professor - Without senior administrative duties,33,-Inf,148025,154175,132925,154175
2017/2018,Mount Allison University,Males,75,-Inf,128150,138550,93500,154175
2017/2018,Mount Allison University,Rank or level below assistant professor,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
2017/2018,Mount Royal University,All ranks combined (including deans),345,6,121600,123975,98775,144050
2017/2018,Mount Royal University,Assistant professor,48,-Inf,97300,98775,84250,108875
2017/2018,Mount Royal University,Associate professor,255,9,121875,123975,105400,135400
2017/2018,Mount Royal University,Associate professor - With senior administrative duties,30,-Inf,132700,135675,116525,143725
2017/2018,Mount Royal University,Associate professor - Without senior administrative duties,228,6,120525,123975,105400,132300
2017/2018,Mount Royal University,Females,180,3,117975,120000,96550,135675
2017/2018,Mount Royal University,Full professor,33,-Inf,148700,153150,126425,162400
2017/2018,Mount Royal University,Full professor - With senior administrative duties,3,-Inf,-Inf,-Inf,-Inf,-Inf
2017/2018,Mount Royal University,Full professor - Without senior administrative duties,30,-Inf,147500,150625,124800,162400
2017/2018,Mount Royal University,Males,165,-Inf,125650,127375,102025,154025
2017/2018,Mount Royal University,Other (not elsewhere classified),-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
2017/2018,Mount Saint Vincent University,All ranks combined (including deans),126,-Inf,112500,118000,82625,142150
2017/2018,Mount Saint Vincent University,Assistant professor,36,-Inf,86125,86925,74025,94825
2017/2018,Mount Saint Vincent University,Associate professor,54,-Inf,113300,118000,100800,120900
2017/2018,Mount Saint Vincent University,Associate professor - With senior administrative duties,15,-Inf,115775,119000,103900,123050
2017/2018,Mount Saint Vincent University,Associate professor - Without senior administrative duties,39,-Inf,112175,118000,100225,118000
2017/2018,Mount Saint Vincent University,Females,75,-Inf,111375,118000,77825,142150
2017/2018,Mount Saint Vincent University,Full professor,36,-Inf,136525,139275,124775,143125
2017/2018,Mount Saint Vincent University,Full professor - With senior administrative duties,6,-Inf,139825,-Inf,-Inf,-Inf
2017/2018,Mount Saint Vincent University,Full professor - Without senior administrative duties,27,-Inf,135700,137850,124675,142150
2017/2018,Mount Saint Vincent University,Males,51,-Inf,114175,118000,91225,142150
2017/2018,Mount Saint Vincent University,Rank or level below assistant professor,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
2017/2018,Nipissing University,All ranks combined (including deans),177,-Inf,119325,115450,96975,143225
2017/2018,Nipissing University,Assistant professor,48,-Inf,100450,100375,88475,108875
2017/2018,Nipissing University,Associate professor,93,-Inf,118050,117950,102800,136125
2017/2018,Nipissing University,Associate professor - With senior administrative duties,21,-Inf,120800,120975,105825,131900
2017/2018,Nipissing University,Associate professor - Without senior administrative duties,72,-Inf,117350,117950,100700,136125
2017/2018,Nipissing University,Females,75,-Inf,116000,114925,97550,136125
2017/2018,Nipissing University,Full professor,33,3,141075,139525,126225,163925
2017/2018,Nipissing University,Full professor - With senior administrative duties,9,3,145600,-Inf,-Inf,-Inf
2017/2018,Nipissing University,Full professor - Without senior administrative duties,24,-Inf,139400,139525,121950,163550
2017/2018,Nipissing University,Males,102,-Inf,121875,120975,94725,146925
2017/2018,Nipissing University,Rank or level below assistant professor,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
2017/2018,Ontario College of Art and Design,All ranks combined (including deans),156,-Inf,104025,101025,79675,127975
2017/2018,Ontario College of Art and Design,Assistant professor,57,-Inf,86125,84300,78375,97025
2017/2018,Ontario College of Art and Design,Associate professor,57,6,107975,109075,94600,121300
2017/2018,Ontario College of Art and Design,Associate professor - With senior administrative duties,18,-Inf,111200,113050,96325,128250
2017/2018,Ontario College of Art and Design,Associate professor - Without senior administrative duties,36,-Inf,106325,108400,92200,115100
2017/2018,Ontario College of Art and Design,Females,78,-Inf,102950,97025,78850,131325
2017/2018,Ontario College of Art and Design,Full professor,33,-Inf,123925,122450,116075,133800
2017/2018,Ontario College of Art and Design,Full professor - With senior administrative duties,6,-Inf,131525,-Inf,-Inf,-Inf
2017/2018,Ontario College of Art and Design,Full professor - Without senior administrative duties,27,-Inf,122275,122175,116300,128675
2017/2018,Ontario College of Art and Design,Males,78,-Inf,105050,107050,80225,125850
2017/2018,Ontario College of Art and Design,Rank or level below assistant professor,3,-Inf,-Inf,-Inf,-Inf,-Inf
2017/2018,Polytechnique Montréal,All ranks combined (including deans),255,-Inf,148725,152050,104075,178675
2017/2018,Polytechnique Montréal,Assistant professor,36,-Inf,117950,121025,108250,123000
2017/2018,Polytechnique Montréal,Associate professor,54,-Inf,142275,141950,128250,153725
2017/2018,Polytechnique Montréal,Associate professor - With senior administrative duties,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
2017/2018,Polytechnique Montréal,Associate professor - Without senior administrative duties,51,-Inf,141400,141150,127275,153725
2017/2018,Polytechnique Montréal,Females,33,-Inf,140250,148025,88750,178675
2017/2018,Polytechnique Montréal,Full professor,135,-Inf,171375,176600,148025,184325
2017/2018,Polytechnique Montréal,Full professor - With senior administrative duties,27,-Inf,182625,182075,160025,198675
2017/2018,Polytechnique Montréal,Full professor - Without senior administrative duties,105,-Inf,168325,174550,148025,178675
2017/2018,Polytechnique Montréal,Males,222,-Inf,150050,153725,110600,178675
2017/2018,Polytechnique Montréal,Other (not elsewhere classified),-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
2017/2018,Polytechnique Montréal,Rank or level below assistant professor,30,-Inf,96850,98075,78125,128275
2017/2018,Queen's University - Excluding medical and dental,All ranks combined (including deans),690,-Inf,159750,156875,125950,191950
2017/2018,Queen's University - Excluding medical and dental,Assistant professor,105,-Inf,134150,125850,110350,177250
2017/2018,Queen's University - Excluding medical and dental,Associate professor,243,-Inf,150775,146900,129225,173450
2017/2018,Queen's University - Excluding medical and dental,Associate professor - With senior administrative duties,15,-Inf,183100,168025,139600,263625
2017/2018,Queen's University - Excluding medical and dental,Associate professor - Without senior administrative duties,228,-Inf,148500,146225,128850,169725
2017/2018,Queen's University - Excluding medical and dental,Females,261,-Inf,151850,150875,117375,180000
2017/2018,Queen's University - Excluding medical and dental,Full professor,327,9,172275,168075,148675,196775
2017/2018,Queen's University - Excluding medical and dental,Full professor - With senior administrative duties,48,9,183925,175125,158150,229100
2017/2018,Queen's University - Excluding medical and dental,Full professor - Without senior administrative duties,282,-Inf,170325,166675,148150,195200
2017/2018,Queen's University - Excluding medical and dental,Males,429,-Inf,164700,162825,132000,196700
2017/2018,Queen's University - Excluding medical and dental,Rank or level below assistant professor,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
2017/2018,Queen's University - Excluding medical and dental,Sex unknown/other,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
2017/2018,Queen's University - Including medical and dental,All ranks combined (including deans),768,-Inf,160125,157075,127125,193125
2017/2018,Queen's University - Including medical and dental,Assistant professor,114,-Inf,133800,126425,110025,176050
2017/2018,Queen's University - Including medical and dental,Associate professor,264,-Inf,150400,146850,129600,172100
2017/2018,Queen's University - Including medical and dental,Associate professor - With senior administrative duties,15,-Inf,183100,168025,139600,263625
2017/2018,Queen's University - Including medical and dental,Associate professor - Without senior administrative duties,249,-Inf,148300,146200,129525,168175
2017/2018,Queen's University - Including medical and dental,Females,279,-Inf,151950,150875,117400,179750
2017/2018,Queen's University - Including medical and dental,Full professor,378,9,172650,168075,149425,198350
2017/2018,Queen's University - Including medical and dental,Full professor - With senior administrative duties,54,9,186300,176250,161475,235250
2017/2018,Queen's University - Including medical and dental,Full professor - Without senior administrative duties,324,-Inf,170375,166350,148175,195525
2017/2018,Queen's University - Including medical and dental,Males,489,-Inf,164925,162875,133100,196900
2017/2018,Queen's University - Including medical and dental,Rank or level below assistant professor,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
2017/2018,Queen's University - Including medical and dental,Sex unknown/other,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
2017/2018,Ryerson University,All ranks combined (including deans),1065,18,139900,147350,79125,193100
2017/2018,Ryerson University,Assistant professor,129,6,111075,106750,92700,136875
2017/2018,Ryerson University,Associate professor,420,12,152575,152600,126150,178825
2017/2018,Ryerson University,Associate professor - With senior administrative duties,39,-Inf,178050,178700,157425,202125
2017/2018,Ryerson University,Associate professor - Without senior administrative duties,378,9,149900,150100,125350,172675
2017/2018,Ryerson University,Females,483,12,133200,140300,73000,184550
2017/2018,Ryerson University,Full professor,270,6,185875,184475,164125,209100
2017/2018,Ryerson University,Full professor - With senior administrative duties,36,6,195675,196075,172350,216675
2017/2018,Ryerson University,Full professor - Without senior administrative duties,234,-Inf,184375,183375,163800,206600
2017/2018,Ryerson University,Males,582,-Inf,145450,155075,82350,198500
2017/2018,Ryerson University,Other (not elsewhere classified),171,-Inf,73225,69225,53600,98900
2017/2018,Ryerson University,Rank or level below assistant professor,69,-Inf,94025,92500,87175,101375
2017/2018,Saint Mary's University,All ranks combined (including deans),255,3,124175,123050,89975,156425
2017/2018,Saint Mary's University,Assistant professor,54,-Inf,99000,92875,79900,128050
2017/2018,Saint Mary's University,Associate professor,96,-Inf,117700,118900,97450,139950
2017/2018,Saint Mary's University,Associate professor - With senior administrative duties,15,-Inf,120200,122825,98850,150650
2017/2018,Saint Mary's University,Associate professor - Without senior administrative duties,78,-Inf,117150,115875,95625,139775
2017/2018,Saint Mary's University,Females,105,-Inf,119225,121275,84000,154425
2017/2018,Saint Mary's University,Full professor,93,-Inf,147175,149900,123550,170650
2017/2018,Saint Mary's University,Full professor - With senior administrative duties,33,-Inf,147425,144800,121875,179025
2017/2018,Saint Mary's University,Full professor - Without senior administrative duties,60,-Inf,147050,152650,123550,169400
2017/2018,Saint Mary's University,Males,150,6,127675,123700,92875,157625
2017/2018,Saint Mary's University,Rank or level below assistant professor,12,-Inf,84275,81250,69500,113200
2017/2018,Simon Fraser University,All ranks combined (including deans),1002,18,131100,129350,94425,168000
2017/2018,Simon Fraser University,Assistant professor,117,6,104050,97650,86475,132650
2017/2018,Simon Fraser University,Associate professor,288,6,126450,119950,109400,154075
2017/2018,Simon Fraser University,Associate professor - With senior administrative duties,21,-Inf,129450,122325,116875,168175
2017/2018,Simon Fraser University,Associate professor - Without senior administrative duties,267,6,126225,118175,109400,154200
2017/2018,Simon Fraser University,Females,369,9,124025,116875,88050,159300
2017/2018,Simon Fraser University,Full professor,426,12,151375,149450,128600,179650
2017/2018,Simon Fraser University,Full professor - With senior administrative duties,51,9,156475,153325,134700,184875
2017/2018,Simon Fraser University,Full professor - Without senior administrative duties,378,6,150725,148850,127850,178125
2017/2018,Simon Fraser University,Males,630,9,135225,134525,101400,170825
2017/2018,Simon Fraser University,Rank or level below assistant professor,162,-Inf,98825,103250,78650,116800
2017/2018,St. Francis Xavier University,All ranks combined (including deans),222,3,111000,105650,81100,151050
2017/2018,St. Francis Xavier University,Assistant professor,30,-Inf,81550,81100,76125,92025
2017/2018,St. Francis Xavier University,Associate professor,102,6,107050,105000,94300,122375
2017/2018,St. Francis Xavier University,Associate professor - With senior administrative duties,24,-Inf,111400,107475,99625,125700
2017/2018,St. Francis Xavier University,Associate professor - Without senior administrative duties,81,3,105825,102325,94300,122375
2017/2018,St. Francis Xavier University,Females,105,3,104800,99650,80100,137975
2017/2018,St. Francis Xavier University,Full professor,69,6,133550,142525,83325,151050
2017/2018,St. Francis Xavier University,Full professor - With senior administrative duties,6,6,139125,-Inf,-Inf,-Inf
2017/2018,St. Francis Xavier University,Full professor - Without senior administrative duties,63,-Inf,133025,142525,81825,151050
2017/2018,St. Francis Xavier University,Males,120,-Inf,116475,116925,81100,151050
2017/2018,St. Francis Xavier University,Rank or level below assistant professor,18,-Inf,85875,90200,59875,90200
2017/2018,St. Thomas University,All ranks combined (including deans),99,-Inf,120050,123675,88000,156875
2017/2018,St. Thomas University,Assistant professor,12,-Inf,86900,84800,74750,101750
2017/2018,St. Thomas University,Associate professor,54,-Inf,116200,120375,95400,125850
2017/2018,St. Thomas University,Associate professor - With senior administrative duties,15,-Inf,113300,110000,91550,131050
2017/2018,St. Thomas University,Associate professor - Without senior administrative duties,39,-Inf,117150,123675,95400,125850
2017/2018,St. Thomas University,Females,42,-Inf,116700,120150,82700,149625
2017/2018,St. Thomas University,Full professor,33,-Inf,140175,138525,120675,156875
2017/2018,St. Thomas University,Full professor - With senior administrative duties,6,-Inf,149200,-Inf,-Inf,-Inf
2017/2018,St. Thomas University,Full professor - Without senior administrative duties,24,-Inf,137675,137825,118725,156875
2017/2018,St. Thomas University,Males,54,-Inf,122675,125850,94000,156875
2017/2018,St. Thomas University,Rank or level below assistant professor,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
2017/2018,Thompson Rivers University,All ranks combined (including deans),321,-Inf,101400,97250,82500,121425
2017/2018,Thompson Rivers University,Assistant professor,75,-Inf,92925,91350,82500,107175
2017/2018,Thompson Rivers University,Associate professor,66,-Inf,111925,114325,99300,122650
2017/2018,Thompson Rivers University,Associate professor - With senior administrative duties,12,-Inf,118900,119200,105350,135150
2017/2018,Thompson Rivers University,Associate professor - Without senior administrative duties,54,-Inf,110350,113150,95775,117775
2017/2018,Thompson Rivers University,Females,153,-Inf,98650,94300,80450,117775
2017/2018,Thompson Rivers University,Full professor,27,3,125575,122100,111825,142950
2017/2018,Thompson Rivers University,Full professor - With senior administrative duties,-Inf,6,-Inf,-Inf,-Inf,-Inf
2017/2018,Thompson Rivers University,Full professor - Without senior administrative duties,24,-Inf,124500,122100,110875,143075
2017/2018,Thompson Rivers University,Males,168,-Inf,103875,100200,84875,122100
2017/2018,Thompson Rivers University,Rank or level below assistant professor,147,-Inf,94275,91350,79075,111200
2017/2018,Trent University,All ranks combined (including deans),270,6,133475,136500,90875,180750
2017/2018,Trent University,Assistant professor,81,-Inf,98825,96525,88050,110675
2017/2018,Trent University,Associate professor,96,9,140075,142375,121975,154200
2017/2018,Trent University,Associate professor - With senior administrative duties,15,6,142600,145900,121350,156400
2017/2018,Trent University,Associate professor - Without senior administrative duties,84,6,139650,139425,121975,154200
2017/2018,Trent University,Females,117,3,129800,136500,88050,163050
2017/2018,Trent University,Full professor,78,-Inf,164975,166000,139425,183700
2017/2018,Trent University,Full professor - With senior administrative duties,12,-Inf,165525,165975,146950,183700
2017/2018,Trent University,Full professor - Without senior administrative duties,66,-Inf,164900,166000,139425,184300
2017/2018,Trent University,Males,150,-Inf,136400,139425,93700,180750
2017/2018,Trent University,Rank or level below assistant professor,12,-Inf,93950,93700,80700,107850
2017/2018,Université de Moncton,All ranks combined (including deans),336,12,118775,115950,85600,155300
2017/2018,Université de Moncton,Assistant professor,90,6,95725,96075,77000,108675
2017/2018,Université de Moncton,Associate professor,108,9,113900,113350,102050,130125
2017/2018,Université de Moncton,Associate professor - With senior administrative duties,24,6,119200,115775,108450,135225
2017/2018,Université de Moncton,Associate professor - Without senior administrative duties,87,6,112550,111950,100500,124875
2017/2018,Université de Moncton,Females,138,9,111675,109150,77000,141050
2017/2018,Université de Moncton,Full professor,114,15,143900,143350,124550,155300
2017/2018,Université de Moncton,Full professor - With senior administrative duties,21,12,153550,149650,124475,219075
2017/2018,Université de Moncton,Full professor - Without senior administrative duties,90,-Inf,141675,142775,124825,155300
2017/2018,Université de Moncton,Males,201,3,123600,121550,94025,155300
2017/2018,Université de Moncton,Rank or level below assistant professor,12,-Inf,78150,77000,68625,100250
2017/2018,Université de Moncton - Campus de Moncton,All ranks combined (including deans),-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
2017/2018,Université de Moncton - Campus de Moncton,Assistant professor,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
2017/2018,Université de Moncton - Campus de Moncton,Associate professor,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
2017/2018,Université de Moncton - Campus de Moncton,Associate professor - With senior administrative duties,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
2017/2018,Université de Moncton - Campus de Moncton,Associate professor - Without senior administrative duties,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
2017/2018,Université de Moncton - Campus de Moncton,Females,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
2017/2018,Université de Moncton - Campus de Moncton,Full professor,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
2017/2018,Université de Moncton - Campus de Moncton,Full professor - With senior administrative duties,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
2017/2018,Université de Moncton - Campus de Moncton,Full professor - Without senior administrative duties,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
2017/2018,Université de Moncton - Campus de Moncton,Males,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
2017/2018,Université de Moncton - Campus de Moncton,Rank or level below assistant professor,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
2017/2018,Université de Montréal - Excluding medical and dental,All ranks combined (including deans),951,39,129625,128375,94125,166000
2017/2018,Université de Montréal - Excluding medical and dental,Assistant professor,150,21,94975,93300,83125,109675
2017/2018,Université de Montréal - Excluding medical and dental,Associate professor,306,9,115175,114525,98400,126825
2017/2018,Université de Montréal - Excluding medical and dental,Associate professor - With senior administrative duties,27,-Inf,132600,126775,114300,159150
2017/2018,Université de Montréal - Excluding medical and dental,Associate professor - Without senior administrative duties,279,9,113475,113150,98400,123125
2017/2018,Université de Montréal - Excluding medical and dental,Females,399,21,125625,123125,91800,160600
2017/2018,Université de Montréal - Excluding medical and dental,Full professor,480,18,148450,139850,128425,174800
2017/2018,Université de Montréal - Excluding medical and dental,Full professor - With senior administrative duties,87,12,166625,164550,143350,191675
2017/2018,Université de Montréal - Excluding medical and dental,Full professor - Without senior administrative duties,396,9,144500,139850,128375,167650
2017/2018,Université de Montréal - Excluding medical and dental,Males,552,18,132475,135900,96275,169675
2017/2018,Université de Montréal - Excluding medical and dental,Rank or level below assistant professor,3,-Inf,-Inf,-Inf,-Inf,-Inf
2017/2018,Université de Montréal - Excluding medical and dental,Sex unknown/other,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
2017/2018,Université de Montréal - Including medical and dental,All ranks combined (including deans),1434,54,131925,135150,95000,167700
2017/2018,Université de Montréal - Including medical and dental,Assistant professor,216,27,95925,94775,83750,110300
2017/2018,Université de Montréal - Including medical and dental,Associate professor,426,18,116325,114525,100725,132200
2017/2018,Université de Montréal - Including medical and dental,Associate professor - With senior administrative duties,39,-Inf,139075,133675,116100,181550
2017/2018,Université de Montréal - Including medical and dental,Associate professor - Without senior administrative duties,390,18,114125,113150,99200,125600
2017/2018,Université de Montréal - Including medical and dental,Females,555,30,126950,124425,93300,159000
2017/2018,Université de Montréal - Including medical and dental,Full professor,774,21,149550,142350,131500,174850
2017/2018,Université de Montréal - Including medical and dental,Full professor - With senior administrative duties,144,15,171900,169850,148025,199400
2017/2018,Université de Montréal - Including medical and dental,Full professor - Without senior administrative duties,633,9,144500,139850,128500,160325
2017/2018,Université de Montréal - Including medical and dental,Males,879,24,135025,139850,97850,169850
2017/2018,Université de Montréal - Including medical and dental,Rank or level below assistant professor,6,-Inf,-Inf,-Inf,-Inf,-Inf
2017/2018,Université de Montréal - Including medical and dental,Sex unknown/other,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf
2017/2018,Université de Sherbrooke - Excluding medical and dental,All ranks combined (including deans),537,12,127750,127550,101500,153500
2017/2018,Université de Sherbrooke - Excluding medical and dental,Assistant professor,75,-Inf,101825,101500,91875,112650
2017/2018,Université de Sherbrooke - Excluding medical and dental,Associate professor,162,6,119000,119050,108575,126800
2017/2018,Université de Sherbrooke - Excluding medical and dental,Associate professor - With senior administrative duties,9,-Inf,123000,-Inf,-Inf,-Inf
2017/2018,Université de Sherbrooke - Excluding medical and dental,Associate professor - Without senior administrative duties,153,6,118775,118450,108575,126800
2017/2018,Université de Sherbrooke - Excluding medical and dental,Females,186,6,121425,120975,92775,143150
2017/2018,Université de Sherbrooke - Excluding medical and dental,Full professor,279,12,141475,143150,127550,155475
2017/2018,Université de Sherbrooke - Excluding medical and dental,Full professor - With senior administrative duties,48,9,148600,150900,130950,160850
2017/2018,Université de Sherbrooke - Excluding medical and dental,Full professor - Without senior administrative duties,234,3,140100,143150,125650,155475
2017/2018,Université de Sherbrooke - Excluding medical and dental,Males,348,3,131150,136775,104700,155475
2017/2018,Université de Sherbrooke - Excluding medical and dental,Rank or level below assistant professor,15,-Inf,77750,78100,66025,88300
2017/2018,Université de Sherbrooke - Including medical and dental,All ranks combined (including deans),1134,15,119275,119725,91075,143150
2017/2018,Université de Sherbrooke - Including medical and dental,Assistant professor,333,-Inf,97000,98300,87450,103200
2017/2018,Université de Sherbrooke - Including medical and dental,Associate professor,336,6,117850,117825,109200,126800
2017/2018,Université de Sherbrooke - Including medical and dental,Associate professor - With senior administrative duties,15,-Inf,123500,122875,115600,132225
2017/2018,Université de Sherbrooke - Including medical and dental,Associate professor - Without senior administrative duties,321,6,117600,117200,108700,126800
2017/2018,Université de Sherbrooke - Including medical and dental,Females,492,9,112150,112425,87450,142000
2017/2018,Université de Sherbrooke - Including medical and dental,Full professor,426,15,140575,142000,127550,153725
2017/2018,Université de Sherbrooke - Including medical and dental,Full professor - With senior administrative duties,63,9,147600,150875,132475,156125
2017/2018,Université de Sherbrooke - Including medical and dental,Full professor - Without senior administrative duties,363,3,139375,142000,127550,146750
